User,Comment,Topic,Timestamp
user_1,This is a comment about shoes,shoes,2023-10-20 07:24:33
user_1,This is a comment about laptops,books,2022-04-15 14:57:45
user_1,This is a comment about books,books,2023-11-02 18:52:40
user_1,This is a comment about shoes,smartphone,2020-06-19 19:39:15
user_1,This is a comment about laptops,laptops,2020-03-10 20:49:48
user_1,This is a comment about clothes,clothes,2020-03-20 18:45:08
user_1,This is a comment about clothes,laptops,2021-12-08 22:54:37
user_1,This is a comment about books,books,2023-12-25 04:16:47
user_1,This is a comment about clothes,clothes,2023-11-06 04:49:52
user_1,This is a comment about laptops,smartphone,2023-01-19 16:59:48
user_1,This is a comment about books,books,2023-11-22 02:22:40
user_1,This is a comment about books,shoes,2021-03-02 10:26:39
user_1,This is a comment about shoes,laptops,2023-05-22 06:52:51
user_1,This is a comment about books,clothes,2023-10-13 04:18:58
user_1,This is a comment about laptops,clothes,2023-09-24 21:06:59
user_1,This is a comment about smartphone,clothes,2023-03-05 13:27:21
user_1,This is a comment about smartphone,shoes,2020-02-02 19:08:15
user_1,This is a comment about books,smartphone,2022-03-10 13:02:46
user_1,This is a comment about laptops,clothes,2020-12-20 10:00:15
user_1,This is a comment about laptops,smartphone,2021-05-28 11:24:16
user_1,This is a comment about books,clothes,2022-07-12 06:35:28
user_1,This is a comment about shoes,clothes,2022-11-27 09:49:43
user_1,This is a comment about shoes,books,2020-12-07 14:04:33
user_1,This is a comment about clothes,books,2023-01-27 20:50:49
user_1,This is a comment about smartphone,books,2020-04-21 01:37:49
user_1,This is a comment about shoes,books,2022-10-25 05:07:09
user_1,This is a comment about smartphone,smartphone,2020-04-19 06:42:20
user_1,This is a comment about shoes,shoes,2021-09-06 00:37:02
user_1,This is a comment about books,shoes,2021-07-08 00:56:36
user_1,This is a comment about books,laptops,2022-08-05 20:49:56
user_1,This is a comment about smartphone,clothes,2023-03-09 19:55:38
user_1,This is a comment about laptops,books,2022-07-16 04:23:52
user_1,This is a comment about clothes,smartphone,2023-02-08 06:06:34
user_1,This is a comment about smartphone,laptops,2021-10-19 23:06:37
user_1,This is a comment about smartphone,clothes,2021-06-10 22:56:31
user_1,This is a comment about shoes,smartphone,2023-02-15 19:42:32
user_1,This is a comment about laptops,books,2021-07-16 09:29:37
user_1,This is a comment about smartphone,books,2023-08-09 18:55:01
user_1,This is a comment about clothes,books,2021-07-13 18:09:48
user_1,This is a comment about clothes,books,2023-08-05 14:03:45
user_1,This is a comment about clothes,laptops,2020-01-24 02:08:16
user_1,This is a comment about laptops,clothes,2021-02-24 20:13:12
user_1,This is a comment about shoes,shoes,2021-11-17 13:26:41
user_1,This is a comment about shoes,shoes,2021-09-13 09:02:00
user_1,This is a comment about smartphone,shoes,2023-10-06 19:16:09
user_1,This is a comment about clothes,clothes,2021-05-21 06:16:03
user_1,This is a comment about laptops,laptops,2020-01-15 21:05:08
user_1,This is a comment about smartphone,clothes,2020-05-27 14:01:21
user_1,This is a comment about books,smartphone,2023-01-28 17:44:58
user_1,This is a comment about clothes,clothes,2021-11-01 11:36:16
user_2,This is a comment about clothes,books,2021-08-03 15:36:54
user_2,This is a comment about laptops,shoes,2022-05-02 08:19:57
user_2,This is a comment about smartphone,shoes,2020-04-25 20:55:37
user_2,This is a comment about books,clothes,2022-11-21 06:48:49
user_2,This is a comment about shoes,shoes,2021-12-17 22:12:40
user_2,This is a comment about clothes,laptops,2022-04-21 23:31:30
user_2,This is a comment about smartphone,books,2021-08-06 20:37:32
user_2,This is a comment about laptops,smartphone,2022-08-06 05:24:55
user_2,This is a comment about clothes,clothes,2020-07-07 12:04:14
user_2,This is a comment about laptops,shoes,2023-12-26 03:25:24
user_2,This is a comment about shoes,clothes,2022-03-23 07:29:20
user_2,This is a comment about clothes,shoes,2020-04-20 17:37:57
user_2,This is a comment about shoes,clothes,2022-06-07 09:06:56
user_2,This is a comment about smartphone,smartphone,2022-06-07 10:06:59
user_2,This is a comment about books,clothes,2022-03-06 07:26:05
user_2,This is a comment about laptops,books,2020-02-02 13:27:26
user_2,This is a comment about laptops,books,2020-03-17 06:36:58
user_2,This is a comment about books,clothes,2022-11-28 15:05:51
user_2,This is a comment about books,smartphone,2020-11-04 23:06:07
user_2,This is a comment about shoes,smartphone,2020-10-18 23:13:14
user_2,This is a comment about books,clothes,2023-01-10 19:41:17
user_2,This is a comment about laptops,clothes,2022-04-02 15:49:04
user_2,This is a comment about smartphone,books,2023-02-04 19:36:52
user_2,This is a comment about laptops,smartphone,2020-06-19 21:47:45
user_2,This is a comment about shoes,laptops,2021-01-05 18:05:14
user_2,This is a comment about clothes,laptops,2022-11-11 10:46:59
user_2,This is a comment about laptops,smartphone,2022-02-28 02:24:49
user_2,This is a comment about books,clothes,2023-10-07 16:06:31
user_2,This is a comment about smartphone,smartphone,2022-12-21 13:27:42
user_2,This is a comment about books,laptops,2020-10-17 21:51:08
user_2,This is a comment about books,shoes,2022-01-28 13:25:27
user_2,This is a comment about smartphone,smartphone,2023-02-17 22:44:15
user_2,This is a comment about books,books,2020-12-25 15:13:56
user_2,This is a comment about clothes,laptops,2021-05-02 23:44:17
user_2,This is a comment about books,laptops,2022-04-28 06:50:33
user_2,This is a comment about books,clothes,2022-05-19 10:32:48
user_2,This is a comment about clothes,books,2022-10-09 06:08:22
user_2,This is a comment about shoes,books,2020-12-11 07:47:00
user_2,This is a comment about books,smartphone,2020-10-09 19:14:40
user_2,This is a comment about books,books,2020-12-05 16:02:27
user_2,This is a comment about smartphone,shoes,2021-08-22 01:42:20
user_2,This is a comment about clothes,shoes,2020-03-01 14:29:00
user_2,This is a comment about shoes,books,2020-06-12 00:06:33
user_2,This is a comment about books,shoes,2021-03-12 00:40:56
user_2,This is a comment about laptops,smartphone,2020-01-12 03:33:35
user_2,This is a comment about laptops,shoes,2021-04-08 12:12:59
user_2,This is a comment about smartphone,smartphone,2020-06-21 20:22:39
user_2,This is a comment about laptops,shoes,2023-12-23 15:38:50
user_2,This is a comment about shoes,books,2021-04-27 16:30:08
user_2,This is a comment about clothes,clothes,2020-02-25 20:40:47
user_3,This is a comment about books,shoes,2023-01-25 21:35:45
user_3,This is a comment about laptops,laptops,2023-07-06 02:16:34
user_3,This is a comment about shoes,books,2022-09-09 06:46:03
user_3,This is a comment about books,clothes,2023-02-24 03:24:06
user_3,This is a comment about clothes,shoes,2021-08-22 23:16:31
user_3,This is a comment about books,clothes,2023-02-19 07:29:29
user_3,This is a comment about books,shoes,2021-08-20 12:46:41
user_3,This is a comment about clothes,books,2022-03-02 21:28:41
user_3,This is a comment about smartphone,shoes,2020-06-06 18:32:20
user_3,This is a comment about books,smartphone,2023-08-27 02:43:01
user_3,This is a comment about clothes,clothes,2020-08-27 19:18:58
user_3,This is a comment about shoes,laptops,2023-02-08 16:52:02
user_3,This is a comment about clothes,books,2023-10-14 08:57:31
user_3,This is a comment about smartphone,smartphone,2020-08-11 01:59:08
user_3,This is a comment about laptops,clothes,2020-06-08 04:50:50
user_3,This is a comment about laptops,clothes,2022-06-27 23:28:38
user_3,This is a comment about smartphone,smartphone,2023-12-03 03:10:30
user_3,This is a comment about books,smartphone,2021-08-20 21:04:58
user_3,This is a comment about smartphone,books,2023-07-22 02:10:01
user_3,This is a comment about shoes,shoes,2021-09-21 05:06:25
user_3,This is a comment about shoes,books,2022-06-07 22:16:35
user_3,This is a comment about shoes,books,2023-12-21 06:28:19
user_3,This is a comment about smartphone,smartphone,2022-02-03 00:27:32
user_3,This is a comment about shoes,smartphone,2021-08-11 21:12:33
user_3,This is a comment about laptops,smartphone,2021-10-05 04:04:39
user_3,This is a comment about books,clothes,2023-05-13 02:41:51
user_3,This is a comment about laptops,smartphone,2020-04-02 12:46:47
user_3,This is a comment about books,books,2021-03-13 06:29:50
user_3,This is a comment about smartphone,laptops,2021-12-05 00:20:11
user_3,This is a comment about smartphone,smartphone,2020-04-10 07:23:02
user_3,This is a comment about shoes,books,2023-05-06 04:59:56
user_3,This is a comment about books,books,2020-03-14 18:30:52
user_3,This is a comment about shoes,books,2020-11-27 05:03:24
user_3,This is a comment about clothes,books,2023-06-23 12:51:17
user_3,This is a comment about books,smartphone,2021-10-09 08:25:47
user_3,This is a comment about laptops,laptops,2023-11-24 10:59:15
user_3,This is a comment about smartphone,shoes,2023-02-01 05:17:16
user_3,This is a comment about smartphone,smartphone,2020-07-23 14:04:31
user_3,This is a comment about books,smartphone,2023-09-10 05:39:01
user_3,This is a comment about clothes,books,2022-12-16 18:21:18
user_3,This is a comment about books,clothes,2022-07-12 21:44:12
user_3,This is a comment about books,shoes,2021-05-01 07:59:43
user_3,This is a comment about books,shoes,2022-09-08 18:01:05
user_3,This is a comment about smartphone,books,2021-10-27 08:24:32
user_3,This is a comment about shoes,clothes,2020-05-06 14:12:29
user_3,This is a comment about clothes,clothes,2022-12-28 03:02:39
user_3,This is a comment about smartphone,laptops,2023-04-25 05:08:35
