Height,Weight,BMI,architect,artist,chef,designer,doctor,driver,engineer,firefighter,lawyer,manager,mechanic,musician,nurse,photographer,pilot,police,programmer,scientist,teacher,writer
171.95254015709298,77.11266147184921,26.080054887803044,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
178.60757465489678,60.80031892768659,19.05926335629577,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174.11053504286576,79.4077608849038,26.19466507168359,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
171.79532731987587,88.48754180469753,29.981919657454483,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
166.94619197355618,59.95012574079832,21.509834246774158,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
175.83576452266624,73.04629337671348,23.625649414977985,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
167.5034884505077,73.68167725087356,26.261032131343846,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
185.67092003128317,72.89007623163494,21.14368234985806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
188.54651042004116,58.92326530562473,16.574857672869847,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
165.33766075303112,88.1099604606794,32.2315676418414,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
181.66900152330658,67.8850151447051,20.568956547150794,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
171.15579679011617,83.85634689884512,28.62547577702398,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
172.7217824437573,77.97917101270016,26.138724517057867,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
187.02386553170643,61.89747803420535,17.69615429499903,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
152.84144232791547,82.55191278809909,35.33823755630842,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
153.48517198806164,65.86022963387938,27.9569886571229,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
150.80873589761302,85.24412788444647,37.48102617047269,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
183.3047938219175,73.25091490543434,21.80044745875463,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
181.126270037994,85.26941447419412,25.99144311427393,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
184.80048592987276,77.70126360311063,22.75211969393305,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
189.14473368931056,79.01017119278562,22.084852096409755,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
181.96634256866895,70.05297527706809,21.156530730434085,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
168.45917449011728,88.24334538892896,31.095147979772403,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
181.22116705145822,75.7596079691855,23.06852745490166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
154.73097703475733,66.95420194232719,27.965545949327726,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
175.59684085310096,74.25572856511698,24.082222631861317,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
155.73413149636187,50.76772793237334,20.932452621885087,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
187.78675668198335,62.06299266698197,17.599599741315306,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170.87393287000288,76.4069414997074,26.168641941491202,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
166.58647759962093,61.60310428841776,22.198473303467395,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
160.58222448418508,74.72061715995366,28.976472237783863,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
180.96934757736867,67.15074803783065,20.50410482859179,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
168.24601328866194,55.41896256889801,19.578022687019995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
172.73735795474593,61.93129303824123,20.75571038545578,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
150.75159201745421,72.79859642805059,32.03311638685628,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
